#name;CR;MR;alignment;size;type;subtypes;groups;environment;climate;plane;variant;intervals;source
##Bestiaries

#Bestiary 1 (10.2009)
deinonychus;3;;5;4;1;;27,28;4;3;0;;1-2,3-12|pack;B1
derro;3;;9;3;5;;;13;;0;;1,2-4|team;B1
devourer;11;;8;5;11;12;;0,1,11;;0;;1;B1
dire ape/gigantopithecus;3;;5;5;1;;;4;3;0;;1-2,3-6|troop;B1
dire bat;2;;5;5;1;;27;0;2,3;0;;1-2,3-8|colony;B1
dire bear/cave bear;7;;5;5;1;;;4;1;0;;1-2;B1
dire boar/daeodon;4;;5;5;1;;;4;2,3;0;;1-2,3-8|herd;B1
dire crocodile;9;;5;7;1;;;9,12;3;0;;1-2,3-6|colony;B1
dire hyena/hyaenodon;3;;5;5;1;;;8;3;0;;1-2,3-8|pack;B1
dire lion/spotted lion;5;;5;5;1;;;5,8;3;0;;1-2,3-8|pride;B1
dire lion manticore;6;;7;5;6;;;5,8,12;3;0;advanced [manticore];1-2,3-6|pride;B1
dire rat;-1;;5;3;1;;27,32;14;;0;;1,2-20|pack;B1
dire shark/megalodon;9;;5;7;1;2;;7;;0;;1;B1
dire tiger/smilodon;8;;5;5;1;;;4,8,13;;0;;1-2;B1
dire wolf|dire wolves;3;;5;5;1;;;4;1,2;0;;1-2,3-8|pack;B1
dire wolverine;4;;5;5;1;;;4;1;0;;1-2;B1
djinni|djinn;5;;3;5;9;1,12;;0,11;;7;;1-2,3-6|company,7-10|band;B1
dog;-1;;5;3;1;;27;0;;0;;1-2,3-12|pack;B1
dolphin;0;;5;4;1;;27;7;;0;;1-2,3-18|pod;B1
doppelganger;3;;5;4;7;50;;0,13;;0;;1-2,3-6|gang;B1
dracolisk\half-dragon (black dragon, basilisk);7;;5;4;3;;;12,13;2;0;;1-2;B1
dragon turtle;9;;5;6;3;2;;7;2;0;;1;B1
dread wraith;7;;7;5;11;45;;0,11,13;;0;advanced giant [wraith];1-2,3-6|gang,7-12|pack;B1
dretch;2;;9;3;9;8,9,12,22;;0,13;;18;;1-2,3-5|gang,6-12|crowd,13-40|mob;B1
drider;7;;9;5;0;;33;13;;0;;1-2,3-8|group;B1
drow|-;-1;;9;4;5;;;13;;0;;2,3-4|squad,5-8|patrol,10-40|war party;B1
dryad;3;;3;4;4;;;4;2;0;;1-2,3-8|grove;B1
duergar;-1;;7;4;5;;;13;;0;;1,2-5|team;B1
dust mephit\mephit;3;;5;3;9;1,12;32,43;0,11;;7;;1-2,3-6|gang,7-12|mob;B1
eagle;0;;5;3;1;;27;6,11;2;0;;1-2;B1
earth mephit\mephit;3;;5;3;9;4,12;32,43;0,13;;8;;1-2,3-6|gang,7-12|mob;B1
efreeti|efreet;8;;7;5;9;6,12;;0;;9;;1-2,3-6|company,7-12|band;B1
elasmosaurus;7;;5;6;1;;27,28;7;3;0;;1-2,3-6|school;B1
elder air elemental;11;;5;6;9;1,5,12;;0,11;;7;;1-2,3-8|gang;B1
elder earth elemental;11;;5;6;9;4,5,12;;0,13;;8;;1-2,3-8|gang;B1
elder fire elemental;11;;5;6;9;5,6,12;;0;;9;;1-2,3-8|gang;B1
elder water elemental;11;;5;6;9;5,7,12;;0,1;;10;;1-2,3-8|gang;B1
elder xorn;8;;5;5;9;4,12;;0,13;;8;advanced giant xorn;1-2;B1
electric eel;2;;5;3;1;2;27;9;3;0;;1;B1
elephant;7;;5;6;1;;27;8;3;0;;1,6-30|herd;B1
erinyes|-;8;;7;4;9;9,11,12,23;;0,11,13;;20;;1,3;B1
ettercap;3;;8;4;0;;;4;2;0;;1-2;B1
ettin;6;;9;5;5;41;;5;1;0;;1-2,3-6|gang;B1
fire beetle;-1;;5;3;12;;;0,13;;0;;1,2-6|cluster,7-12|colony;B1
fire giant;10;;7;5;5;6,41;;6,17;3;0;;1,2-5|gang;B1
fire mephit\mephit;3;;5;3;9;6,12;32,43;0,11,13;;9;;1-2,3-6|gang,7-12|mob;B1
flash beetle;0;;5;3;12;;;0,13;;0;advanced [fire beetle];1,2-6|cluster,7-12|colony;B1
flesh golem;7;;5;5;2;;36;0,13;;0;;1,2-4|gang;B1
flesh golem shield guardian;9;;5;5;2;;36;0,13;;0;flesh golem;1-2;B1
froghemoth;13;;5;6;0;;;12;2;0;;1;B1
frost giant;9;;9;5;5;3,41;;6;1;0;;1,3-5|gang;B1
frost wight;4;;7;4;11;3;;0,13;;0;wight;1-2,3-6|gang,7-12|pack;B1
gargantuan animated object;9;;5;7;2;;;0,1,11;;0;animated object;1-2,3-4|group;B1
gargoyle;4;;9;4;7;4;;10,11,13,14;;0;;1-2,3-12|wing;B1
gelatinous cube;3;;5;5;8;;;13;;0;;1;B1
ghaele;13;;3;4;9;8,10,12,19,50;;0,11,13;;16;;1-2,3-6|squad;B1
ghast;2;;9;4;11;;;0,13;;0;advanced [ghoul];1,2-4|gang;B1
ghost;7;;9;4;11;45;;0,13;;0;;1;B1
ghoul;1;;9;4;11;;;0,13;;0;;1,2-4|gang,7-12|pack;B1
giant ant;2;;5;4;12;;27;0,13;;0;;1-2,3-6|gang;B1
giant centipede;0;;5;4;12;;27;4,13;2,3;0;;1-2,3-6|colony;B1
giant crab;2;;5;4;12;2;27;1;;0;;1,2-12|cast;B1
giant eagle;3;;2;5;6;;;6,11;2;0;;1-2,3-12|eyrie;B1
giant flytrap;10;;5;6;10;;;12;2;0;;1-2,3-6|grove;B1
giant frilled lizard;5;;5;5;1;;27;4,5,8;3;0;;1-2,3-8|pack;B1
giant frog;1;;5;4;1;;27;9,12;2,3;0;;1-2,3-8|army;B1
giant leech;2;;5;4;12;2;27;12;2,3;0;;1-2,3-6|brood;B1
giant mantis;3;;5;5;12;;27;4;2;0;;1;B1
giant moray eel;5;;5;5;1;2;27;7;3;0;;1-2,3-6|nest;B1
giant octopus;8;;5;5;1;2;;7;;0;;1;B1
giant scorpion;3;;5;5;12;;27;3,4,8,13;2,3;0;;1;B1
giant slug;8;;5;6;12;;27;12,13;2,3;0;;1;B1
giant spider;1;;5;4;12;;27;0,13;;0;;1-2,3-8|colony;B1
giant squid;9;;5;6;1;2;27;7;;0;;1;B1
giant stag beetle;4;;5;5;12;;;4;2;0;;1-2,3-6|cluster;B1
giant wasp;3;;5;5;12;;27;4;2;0;;1-2,3-6|group,7-19|nest;B1
gibbering mouther;5;;5;4;0;;;13;;0;;1;B1
girallon;6;;5;5;6;;;4;3;0;;1,5-8|company;B1
glabrezu;13;;9;6;9;8,9,12,22;;0;;18;;1;B1
gnoll;1;;9;4;5;;;3,8;3;0;;1-2;B1
goblin;-1;;8;3;5;;;4,8;2;0;;4-9|gang;B1
goblin dog;1;;5;4;1;;27;4,12,13;2;0;;1,2-12|pack;B1
gorgon;8;;5;5;6;;;5,8,13;2;0;;1-2,3-4|pack,5-12|herd;B1
gorilla;2;;5;5;1;;27;4;3;0;;1-2,3-12|troop;B1
gray ooze;4;;5;4;8;;;12,13;1;0;;1;B1
great forest centipede;6;;5;7;12;;;4;2,3;0;gargantuan [giant centipede];1-2;B1
great reef crab;10;;5;7;12;2;;1;;0;gargantuan [giant crab];1-2;B1
great wyrm black dragon;19;;9;7;3;7;20;12;3;0;black dragon\ancient black dragon;1;B1
great wyrm blue dragon;21;;7;8;3;4;20;3;3;0;blue dragon\ancient blue dragon;1;B1
great wyrm brass dragon;19;;3;7;3;6;23;3;3;0;brass dragon\ancient brass dragon;1;B1
great wyrm bronze dragon;21;;1;8;3;7;23;2;2;0;bronze dragon\ancient bronze dragon;1;B1
great wyrm copper dragon;20;;3;7;3;4;23;5;3;0;copper dragon\ancient copper dragon;1;B1
great wyrm gold dragon;23;;1;8;3;6;23;8;3;0;gold dragon\ancient gold dragon;1;B1
great wyrm green dragon;20;;7;8;3;1;20;4;2;0;green dragon\ancient green dragon;1;B1
great wyrm red dragon;22;;9;8;3;6;20;6;3;0;red dragon\ancient red dragon;1;B1
great wyrm silver dragon;22;;1;8;3;3;23;6;2;0;silver dragon\ancient silver dragon;1;B1
great wyrm white dragon;18;;9;7;3;3;20;6;1;0;white dragon\ancient white dragon;1;B1
greater air elemental;9;;5;6;9;1,5,12;;0,11;;7;;1-2,3-8|gang;B1
greater barghest;7;;7;5;9;9,11,12,50;;0,13;;0;;1;B1
greater earth elemental;9;;5;6;9;4,5,12;;0,13;;8;;1-2,3-8|gang;B1
greater fire elemental;9;;5;6;9;5,6,12;;0;;9;;1-2,3-8|gang;B1
greater shadow;8;;9;4;11;45;;0,11,13;;0;;1;B1
greater water elemental;9;;5;6;9;5,7,12;;0,1;;10;;1-2,3-8|gang;B1
green hag;5;;9;4;7;;38;12;2;0;;1,3|coven;B1
griffon;4;;5;5;6;;27;5,11;2;0;;1-2,6-10|pride;B1
grizzly bear;4;;5;5;1;;27;4;1;0;;1-2;B1
guardian naga;10;;1;5;0;;45;8;2;0;;1-2,3-6|nest;B1
gynosphinx;8;;5;5;6;;46;3,5;3;0;;1-2,3-6|cult;B1
harpy;4;;9;4;7;;;12;2;0;;1-2,3-12|flight;B1
hawk;-1;;5;2;1;;27,31;4;2;0;;1-2;B1
heavy horse;2;;5;5;1;;;8;2;0;advanced [horse];1-2,3-30|herd;B1
hell hound;3;;7;4;9;6,9,11,12;;0,13;;20;;1-2,3-12|pack;B1
hezrou;11;;9;5;9;2,8,9,12,22;;12;;18;;1,2-4|gang;B1
hill giant;7;;9;5;5;41;;5;2;0;;1,2-5|gang,6-8|band;B1
hissing centipede;1;;5;5;12;;;4,13;2,3;0;large [giant centipede];1-2,3-6|colony;B1
hobgoblin;0;;7;4;5;;;5;2;0;;4-9|gang,10-24|warband;B1
homunculus;1;;0;2;2;;32;0,13;;0;;1;B1
horned devil/cornugon;16;;7;5;9;9,11,12,23;;0,11,13;;20;;1-2,3-10|wing;B1
horse;1;;5;5;1;;27;8;2;0;;1-2,3-30|herd;B1
hound archon;4;;1;4;9;10,11,12,17;;0,13;;14;;1-2,3-5|squad;B1
huge air elemental;7;;5;6;9;1,5,12;;0,11;;7;;1-2,3-8|gang;B1
huge animated object;7;;5;6;2;;;0,1,11;;0;animated object;1-2,3-6|group;B1
huge earth elemental;7;;5;6;9;4,5,12;;0,13;;8;;1-2,3-8|gang;B1
huge fire elemental;7;;5;6;9;5,6,12;;0;;9;;1-2,3-8|gang;B1
huge water elemental;7;;5;6;9;5,7,12;;0,1;;10;;1-2,3-8|gang;B1
hydra;4;;5;6;6;;27;12;2;0;;1;B1
hyena;1;;5;4;1;;27;8;3;0;;1-2,3-12|pack;B1
ice devil/gelugon;13;;7;5;9;9,11,12,23;;0,11,13;;20;;1,2-3|team,4-10|council;B1
ice golem;5;;5;4;2;3;36;0;1;0;;1,2-4|gang;B1
ice golem shield guardian;7;;5;4;2;3;36;0;1;0;ice golem;1-2;B1
ice linnorm;17;;9;8;3;;41;5,6;1;0;;1;B1
ice mephit\mephit;3;;5;3;9;3,12;32,43;0,11;;7;;1-2,3-6|gang,7-12|mob;B1
id ooze;6;;5;4;8;;;12,13;1;0;gray ooze;1;B1
imp;2;;7;2;9;9,11,12,23;32;0,11,13;;20;;1-2,3-10|flock;B1
intellect devourer;8;;9;3;0;;;13;;0;;1,2-6|brood,7-16|tribe;B1
invisible stalker;7;;5;4;9;1,5,12;;0,11;;7;;1;B1
iron cobra;2;;5;3;2;;;0,11,13;;0;;1-2,3-10|nest;B1
iron golem;13;;5;5;2;;36;0,13;;0;;1,2-4|gang;B1
iron golem shield guardian;15;;5;5;2;;36;0,13;;0;iron golem;1-2;B1
janni|jann;4;;5;4;9;13;;3;3;0;;1-2,3-6|company,7-12|band;B1
juvenile black dragon;8;;9;4;3;7;20;12;3;0;black dragon\young black dragon;1;B1
juvenile blue dragon;10;;7;5;3;4;20;3;3;0;blue dragon\young blue dragon;1;B1
juvenile brass dragon;8;;3;4;3;6;23;3;3;0;brass dragon\young brass dragon;1;B1
juvenile bronze dragon;10;;1;5;3;7;23;2;2;0;bronze dragon\young bronze dragon;1;B1
juvenile copper dragon;9;;3;4;3;4;23;5;3;0;copper dragon\young copper dragon;1;B1
juvenile gold dragon;12;;1;5;3;6;23;8;3;0;gold dragon\young gold dragon;1;B1
juvenile green dragon;9;;7;5;3;1;20;4;2;0;green dragon\young green dragon;1;B1
juvenile red dragon;11;;9;5;3;6;20;6;3;0;red dragon\young red dragon;1;B1
juvenile silver dragon;11;;1;5;3;3;23;6;2;0;silver dragon\young silver dragon;1;B1
juvenile white dragon;7;;9;4;3;3;20;6;1;0;white dragon\young white dragon;1;B1
kapoacinth;4;;9;4;7;2,4;;7;;0;gargoyle;1-2,3-12|wing;B1
king cobra;3;;5;5;1;;;0;2,3;0;advanced giant [venomous snake];1-2,3-6|nest;B1
kobold;-2;;7;3;5;;;4,13;2;0;;1,2-8|gang;B1
kraken;18;;8;7;6;2;;7;;0;;1;B1
kyton/evangelist\kyton;6;;7;4;9;9,11,12,27;;0,13;;1;;1-2,3-6|link,7-20|chain;B1
lacedon;1;;9;4;11;2;;1;;0;ghoul;1,2-4|gang,7-12|pack;B1
lamia;6;;9;5;7;;;3;2;0;;1-2,3-12|cult;B1
lamia manticore;6;;9;5;7;;;3,5;2;0;[lamia], [manticore];1-2,3-6|pride;B1
lantern archon;2;;1;3;9;10,11,12,17;;0,11,13;;14;;1-2,3-6|squad;B1
large air elemental;5;;5;5;9;1,5,12;;0,11;;7;;1-2,3-8|gang;B1
large animated object;5;;5;5;2;;;0,1,11;;0;animated object;1-2,3-10|group;B1
large earth elemental;5;;5;5;9;4,5,12;;0,13;;8;;1-2,3-8|gang;B1
large fire elemental;5;;5;5;9;5,6,12;;0;;9;;1-2,3-8|gang;B1
large water elemental;5;;5;5;9;5,7,12;;0,1;;10;;1-2,3-8|gang;B1
leech swarm;4;;5;1;12;2,52;;12;2,3;0;;1-2,3-6|infestation;B1
lemure;1;;7;4;9;9,11,12,23;;0,13;;20;;1-2,3-5|gang,6-17|swarm,10-40|mob;B1
leopard;2;;5;4;1;;27;4;;0;;1-2;B1
lich;12;;8;4;11;;;0,13;;0;;1;B1
lillend;7;;3;5;9;8,10,12,19;;0,11,13;;16;;1-2,3-6|choir;B1
lion;3;;5;5;1;;27;8;3;0;;1-2,3-10|pride;B1
lizard;-3;;5;2;1;;31;0;2,3;0;;1-2,3-8|nest;B1
lizardfolk|-;1;;5;4;5;;;12;2;0;;1-2,3-12|band,13-60|tribe;B1
magma mephit\mephit;3;;5;3;9;6,12;32,43;0,11,13;;9;;1-2,3-6|gang,7-12|mob;B1
manticore;5;;7;5;6;;;5,12;3;0;;1-2,3-6|pride;B1
marid;9;;6;5;9;7,12;;0,1;;10;;1-2,3-6|company,7-12|band;B1
marilith;17;;9;5;9;8,9,12,22;;0,13;;18;;1-2;B1
mastodon;9;;5;6;1;;27;4,8;1,2;0;;1,6-30|herd;B1
mature adult black dragon;12;;9;5;3;7;20;12;3;0;black dragon\adult black dragon;1;B1
mature adult blue dragon;14;;7;6;3;4;20;3;3;0;blue dragon\adult blue dragon;1;B1
mature adult brass dragon;12;;3;5;3;6;23;3;3;0;brass dragon\adult brass dragon;1;B1
mature adult bronze dragon;14;;1;6;3;7;23;2;2;0;bronze dragon\adult bronze dragon;1;B1
mature adult copper dragon;13;;3;5;3;4;23;5;3;0;copper dragon\adult copper dragon;1;B1
mature adult gold dragon;16;;1;6;3;6;23;8;3;0;gold dragon\adult gold dragon;1;B1
mature adult green dragon;13;;7;6;3;1;20;4;2;0;green dragon\adult green dragon;1;B1
mature adult red dragon;15;;9;6;3;6;20;6;3;0;red dragon\adult red dragon;1;B1
mature adult silver dragon;15;;1;6;3;3;23;6;2;0;silver dragon\adult silver dragon;1;B1
mature adult white dragon;11;;9;5;3;3;20;6;1;0;white dragon\adult white dragon;1;B1
medium air elemental;3;;5;4;9;1,5,12;;0,11;;7;;1-2,3-8|gang;B1
medium [animated object];3;;5;4;2;;;0,1,11;;0;;1-2,3-12|group;B1
medium earth elemental;3;;5;4;9;4,5,12;;0,13;;8;;1-2,3-8|gang;B1
medium fire elemental;3;;5;4;9;5,6,12;;0;;9;;1-2,3-8|gang;B1
medium water elemental;3;;5;4;9;5,7,12;;0,1;;10;;1-2,3-8|gang;B1
medusa;7;;7;4;7;;;12,13;2;0;;1;B1
megaraptor;5;;5;5;1;;28;4;3;0;advanced giant [deinonychus];1-2,3-8|pack;B1
merfolk|-;-1;;5;4;5;2;;7;2;0;;1,2-4|company;B1
mimic;4;;5;4;0;50;;0,13;;0;;1;B1
mining beetle;0;;5;3;12;;;0,13;;0;advanced [fire beetle];1,2-6|cluster,7-12|colony;B1
minotaur;4;;9;5;7;;;10,13;2;0;;1-2,3-4|gang;B1
mite;-2;;7;3;4;;;13;;0;;1,2-8|band;B1
mithral cobra;3;;5;3;2;;;0,11,13;;0;iron cobra;1-2,3-10|nest;B1
mohrg;8;;9;4;11;;;0,13;;0;;1,2-4|gang;B1
monitor lizard;2;;5;4;1;;27;4,8;3;0;;1-2,3-8|pack;B1
monkey|-s;-2;;5;2;1;;31;4;3;0;;1-2,3-9|band,10-40|troop;B1
morlock;2;;9;4;7;;;13;;0;;1-2,3-6|band,7-18|tribe;B1
mummy;5;;7;4;11;;;0,13;;0;;1,2-6|warden squad,7-12|guardian detail;B1
nabasu;8;;9;4;9;8,9,13,22;;0,11,13;;18;;1;B1
nalfeshnee;14;;9;6;9;8,9,12,22;;0,11,13;;18;;1;B1
neothelid;15;;9;7;0;;;13;;0;;1-2;B1
nessian warhound;9;;7;5;9;6,9,11,12;;0,13;;20;;1-2,3-6|pack;B1
night hag;9;;8;4;9;9,12;38;0,13;;18,19,20;;1,3|coven;B1
nightmare;5;;8;5;9;9,12;;0;;19;;1;B1
nymph;7;;3;4;4;;;4;2;0;;1;B1
ochre jelly;5;;5;5;8;;;12,13;2;0;;1;B1
octopus;1;;5;3;1;2;27;7;1,2;0;;1;B1
old black dragon;14;;9;6;3;7;20;12;3;0;black dragon\adult black dragon;1;B1
old blue dragon;16;;7;7;3;4;20;3;3;0;blue dragon\adult blue dragon;1;B1
old brass dragon;14;;3;6;3;6;23;3;3;0;brass dragon\adult brass dragon;1;B1
old bronze dragon;16;;1;7;3;7;23;2;2;0;bronze dragon\adult bronze dragon;1;B1
old copper dragon;15;;3;6;3;4;23;5;3;0;copper dragon\adult copper dragon;1;B1
old gold dragon;18;;1;7;3;6;23;8;3;0;gold dragon\adult gold dragon;1;B1
old green dragon;15;;7;7;3;1;20;4;2;0;green dragon\adult green dragon;1;B1
old red dragon;17;;9;7;3;6;20;6;3;0;red dragon\adult red dragon;1;B1
old silver dragon;17;;1;7;3;3;23;6;2;0;silver dragon\adult silver dragon;1;B1
old white dragon;13;;9;6;3;3;20;6;1;0;white dragon\adult white dragon;1;B1
ogre;3;;9;5;5;41;;5;1,2;0;;1-2,3-4|gang,5-16|family;B1
ogre mage;8;;7;5;9;13,29,41,50;;5;1;0;;1-2;B1
ooze mephit\mephit;3;;5;3;9;7,12;32,43;0,1;;10;;1-2,3-6|gang,7-12|mob;B1
orangutan;1;;5;4;1;;;4;3;0;young [gorilla];1-2,3-12|troop;B1
orc;-1;;9;4;5;;;5,6,13;2;0;;1,2-8|gang;B1
orca;5;;5;6;1;;27;7;1;0;;1-2,3-20|pod;B1
otyugh;4;;5;5;0;;;13;;0;;1-2,3-4|cluster;B1
owl;-1;;5;2;1;;27,31;4;2;0;;1-2;B1
owlbear;4;;5;5;6;;;4;2;0;;1-2,3-8|pack;B1
pegasus|pegasi;3;;3;5;6;;;8;2,3;0;;1-2,6-10|herd;B1
phase spider;5;;5;5;6;;;5;3;0;;1-2,3-6|cluster;B1
phoenix;15;;2;7;6;6;;3,5;3;0;;1;B1
pit fiend;20;;7;5;9;9,11,12,23;;0,11,13;;20;;1-2,3-9|council;B1
pixie;4;;2;3;4;;;4;2;0;;1,2-4|gang,6-11|band,20-80|tribe;B1
planetar;16;;1;5;9;10,12,16;;0,11,13;;14,15,16;;1-2;B1
poison frog;0;;5;2;1;;;7,12;3;0;;1-2,3-12|army;B1
pony;0;;5;4;1;;27;8;2;0;;1-2,3-30|herd;B1
pseudodragon;1;;2;2;3;;32;4;2;0;;1-2,3-5|clutch;B1
pteranodon;3;;5;5;1;;27,28;2,11;3;0;;1-2,3-12|flock;B1
purple worm;12;;5;7;6;;;13;;0;;1;B1
pyrohydra;6;;5;6;6;6;;3,6,17;3;0;hydra;1;B1
quasit;2;;9;2;9;8,9,12,22;32;0,11,13;;18;;1,2-12|flock;B1
rakshasa;10;;7;4;9;13,33,50;;0,13;;0;;1-2,3-12|cult;B1
rat;-2;;5;2;1;;31;0;2;0;;1-2,3-12|nest,13-100|plague;B1
